wikidata_id:ID(Award),name,enwiki_title
Q137341,NBA All-Star Game,NBA All-Star Game
Q137003,50 Greatest Players in NBA History,50 Greatest Players in NBA History
Q112451,Presidential Order of Excellence,Presidential Order of Excellence
Q222047,NBA Most Valuable Player Award,NBA Most Valuable Player Award
Q85747125,Big Ten Conference Men's Basketball Coach of the Year,Big Ten Conference Men%27s Basketball Coach of the Year
Q55697,Order of the Smile,Order of the Smile
Q31391,NBA All-Star Game Kobe Bryant Most Valuable Player Award,NBA All-Star Game Kobe Bryant Most Valuable Player award
Q17144,Presidential Medal of Freedom,Presidential Medal of Freedom
Q674359,All-NBA Team,All-NBA Team
Q644357,NBA Rookie of the Year Award,NBA Rookie of the Year Award
Q604370,Time 100,Time 100
Q641316,Golden Raspberry Award for Worst Supporting Actor,Golden Raspberry Award for Worst Supporting Actor
Q586458,FIBA Hall of Fame,FIBA Hall of Fame
Q634353,Olympic Order,Olympic Order
Q118697991,Phoenix Award,Phoenix Award (Congressional Black Caucus Foundation)
Q121359767,Great Immigrants Award,Great Immigrants Award
Q112144165,NBA Conference Finals Most Valuable Player Award,NBA conference finals Most Valuable Player award
Q4896724,Best Male Athlete ESPY Award,Best Male Athlete ESPY Award
Q840582,retired number,Retired number
Q844517,NBA Sixth Man of the Year Award,NBA Sixth Man of the Year Award
Q4904894,Big 12 Conference Men's Basketball Player of the Year,Big 12 Conference Men%27s Basketball Player of the Year
Q778412,Pro Football Hall of Fame,Pro Football Hall of Fame
Q4896727,Best Male College Athlete ESPY Award,Best Male College Athlete ESPY Award
Q743122,Associated Press Athlete of the Year,Associated Press Athlete of the Year
Q747833,College Football Hall of Fame,College Football Hall of Fame
Q4896742,Best Moment ESPY Award,Best Moment ESPY Award
Q4896608,Best Coach/Manager ESPY Award,Manager ESPY Award
Q739499,Bill Russell NBA Finals Most Valuable Player Award,NBA Finals Most Valuable Player award
Q791135,Order of Friendship,Order of Friendship
Q4896614,Best Comeback Athlete ESPY Award,Best Comeback Athlete ESPY Award
Q4905618,Big East Conference Men's Basketball Player of the Year,Big East Conference Men%27s Basketball Player of the Year
Q7080855,Ohio Mr. Basketball,Ohio Mr. Basketball
Q7148018,Patriot League Men's Basketball Player of the Year,Patriot League Men%27s Basketball Player of the Year
Q7569437,Southeastern Conference Men's Basketball Player of the Year,Southeastern Conference Men%27s Basketball Player of the Year
Q4906518,Big Ten Conference Men's Basketball Player of the Year,Big Ten Conference Men%27s Basketball Player of the Year
Q6197497,Jim Phelan Award,Jim Phelan Award
Q6542686,Library of Congress Living Legend,Library of Congress Living Legend
Q6705407,Lute Olson Award,Lute Olson Award
Q5770886,Illustrious Citizen of Buenos Aires,Illustrious Citizen of Buenos Aires
Q6929029,Mr. New York Basketball,Mr. New York Basketball
Q4906363,Big Sky Conference Men's Basketball Player of the Year,Big Sky Conference Men%27s Basketball Player of the Year
Q4906507,Big Ten Athlete of the Year,Big Ten Athlete of the Year
Q6008386,Medal of Work Merit,Medal of Merit in Labour
Q5282987,Distinguished Eagle Scout Award,Distinguished Eagle Scout Award
Q5484794,Franjo Bučar State Award for Sport,Franjo Bu%C4%8Dar State Award for Sport
Q6589922,list of Men's Basketball Academic All-America Team Members of the Year,List of Men%27s Basketball Academic All-America Team Members of the Year
Q5361902,Elite 90 Award,Elite 90 Award
Q6879778,Missouri Valley Conference Men's Basketball Player of the Year,Missouri Valley Conference Men%27s Basketball Player of the Year
Q6952971,NCAA Men's Basketball All-Americans,NCAA Men%27s Basketball All-Americans
Q5949350,Huskies of Honor,Huskies of Honor
Q7350546,Robert V. Geasey Trophy,Robert V. Geasey Trophy
Q6596713,List of Senior CLASS Award men's basketball winners,List of Senior CLASS Award men%27s basketball winners
Q5020532,California Hall of Fame,California Hall of Fame
Q7082270,Oklahoma Music Hall of Fame,Oklahoma Music Hall of Fame
Q6928407,Mr. Basketball of Michigan,Mr. Basketball of Michigan
Q5593890,"Grammy Award for Best Audio Book, Narration & Storytelling Recording","Grammy Award for Best Audio Book, Narration %26 Storytelling Recording"
