wikidata_id:ID(Coach),name,enwiki_title,country_of_citizenship,place_of_birth,native_language,sex_or_gender,date_of_birth,work_period_start,work_period_end
Q922434,Earl Watson,Earl Watson,United States of America,Kansas City,English,male,12 June 1979,2001,2014
Q199896,Karl Malone,Karl Malone,United States of America,Ruston,English,male,24 July 1963,1985,2004
Q1348252,Jeff Malone,Jeff Malone,United States of America,Mobile,English,male,28 June 1961,,
Q1353620,Neil Johnston,Neil Johnston,United States of America,Chillicothe,English,male,04 February 1929,1951,1959
Q542563,Marcus Brown,Marcus Brown,United States of America,West Memphis,English,male,03 April 1974,1996,2011
Q1628889,George Lynch,George Lynch (basketball),United States of America,Roanoke,English,male,03 September 1970,1993,2017
Q1631637,Gar Heard,Gar Heard,United States of America,Hogansville,English,male,03 May 1948,1970,1981
Q538009,Byron Scott,Byron Scott,United States of America,Ogden,English,male,28 March 1961,1983,1998
Q542256,Allan Bristow,Allan Bristow,United States of America,Richmond,English,male,23 August 1951,1973,1983
Q1632186,Corey Williams,"Corey Williams (basketball, born 1970)",United States of America,Twiggs County,English,male,24 April 1970,1992,1998
Q548382,Rod Foster,Rod Foster,United States of America,Birmingham,English,male,10 October 1960,1983,1986
Q1346751,Al Cervi,Al Cervi,United States of America,Buffalo,English,male,12 February 1917,1937,1953
Q201608,Dennis Rodman,Dennis Rodman,United States of America,Trenton,English,male,13 May 1961,1986,2006
Q539560,Melvin Ely,Melvin Ely,United States of America,Harvey,English,male,02 May 1978,2002,2016
Q547400,Vern Mikkelsen,Vern Mikkelsen,United States of America,Parlier,English,male,21 October 1928,1949,1959
Q918916,Dave DeBusschere,Dave DeBusschere,United States of America,Detroit,English,male,16 October 1940,1962,1974
Q888056,Bob Lanier,Bob Lanier,United States of America,Buffalo,,male,10 September 1948,1970,1984
Q1363177,Greivis Vásquez,Greivis V%C3%A1squez,Venezuela,Caracas,,male,16 January 1987,2010,2016
Q887909,Bob Feerick,Bob Feerick,United States of America,San Francisco,English,male,02 January 1920,1946,1950
Q918347,Danny Ainge,Danny Ainge,United States of America,Eugene,English,male,17 March 1959,1981,1995
Q1342300,Mark Jackson,Mark Jackson,United States of America,Brooklyn,English,male,01 April 1965,1987,2004
Q1347527,Al Attles,Al Attles,United States of America,Newark,English,male,07 November 1936,1960,1971
Q1629949,Blake Ahearn,Blake Ahearn,United States of America,St. Louis,English,male,27 May 1984,2007,2015
Q1634810,Don Carlson,Don Carlson,United States of America,Minneapolis,English,male,22 March 1919,1946,1951
Q221341,Jason Kidd,Jason Kidd,United States of America,San Francisco,English,male,23 March 1973,1994,2013
Q1635488,Jerry Rullo,Jerry Rullo,United States of America,Philadelphia,English,male,23 June 1923,1946,1951
Q1353111,Rod Thorn,Rod Thorn,United States of America,Princeton,English,male,23 May 1941,1963,1971
Q1374718,Ime Udoka,Ime Udoka,Nigeria; United States of America,Portland,English,male,09 August 1977,2000,2012
Q1629769,Mark Randall,Mark Randall (basketball),United States of America,Edina,English,male,30 September 1967,1991,1997
Q525024,Shea Seals,Shea Seals,United States of America,Tulsa,English,male,26 August 1975,,
Q543107,Jack Sikma,Jack Sikma,United States of America,Kankakee,English,male,14 November 1955,1977,1991
Q1634182,Greg Bunch,Greg Bunch,United States of America,San Bernardino,English,male,15 May 1956,1978,1984
Q526241,Bobby Jackson,Bobby Jackson,United States of America,Salisbury,English,male,13 March 1973,1997,2009
Q817876,Bennie Swain,Bennie Swain,United States of America,Talladega,English,male,16 December 1933,,1959
Q919954,Doug Collins,Doug Collins (basketball),United States of America,Christopher,English,male,28 July 1951,1973,1981
Q826528,Bernie Bickerstaff,Bernie Bickerstaff,United States of America,Benham,,male,11 February 1944,,
Q862011,Bill Cartwright,Bill Cartwright,United States of America,Lodi,English,male,30 July 1957,1979,1995
Q888707,Bobby Wanzer,Bobby Wanzer,United States of America,Brooklyn,English,male,04 June 1921,1948,1957
Q924072,Louis Orr,Louis Orr,United States of America,Cincinnati,English,male,07 May 1958,1980,1988
Q1343136,Nate McMillan,Nate McMillan,United States of America,Raleigh,English,male,03 August 1964,1986,1998
Q1343292,Kiki VanDeWeghe,Kiki VanDeWeghe,United States of America,Wiesbaden,English,male,01 August 1958,1980,1993
Q1361081,Sam Perkins,Sam Perkins,United States of America,Brooklyn,English,male,14 June 1961,1984,2001
Q204285,Josh Powell,Josh Powell,United States of America,Charleston,English,male,25 January 1983,2003,2017
Q1638747,Trey Johnson,Trey Johnson,Qatar; United States of America,Jackson,English,male,30 August 1984,2007,2015
Q1352098,Lawrence Frank,Lawrence Frank,United States of America,New York City; Teaneck,,male,23 August 1970,,
Q887885,Bob Davies,Bob Davies,United States of America,Harrisburg,English,male,15 January 1920,1943,1955
Q527022,Andy Phillip,Andy Phillip,United States of America,Granite City,English,male,07 March 1922,1947,1958
Q836418,Rusty LaRue,Rusty LaRue,United States of America,Winston-Salem,English,male,10 December 1973,1996,2004
Q547123,Bob Kauffman,Bob Kauffman,United States of America,Brooklyn,English,male,13 July 1946,1968,1975
Q1628310,Calbert Cheaney,Calbert Cheaney,United States of America,Evansville,English,male,17 July 1971,1993,2006
Q532832,Beno Udrih,Beno Udrih,Slovenia,Celje,,male,05 July 1982,1997,
Q534874,Scooter McCray,Scooter McCray,United States of America,Mount Vernon,English,male,08 February 1960,1983,1988
Q729072,Jim Holstein,Jim Holstein,United States of America,Hamilton,English,male,24 September 1930,1952,1956
Q731502,Scott Brooks,Scott Brooks,United States of America,French Camp,English,male,31 July 1965,1987,2001
Q1622629,Paul Hoffman,Paul Hoffman (basketball),United States of America,Indiana,English,male,05 May 1925,1947,1955
Q742049,Larry Jones,Larry Jones (basketball),United States of America,Columbus,English,male,22 September 1942,1964,1974
Q1620080,Jeff Martin,Jeff Martin (basketball),United States of America,Cherry Valley,English,male,14 January 1967,1989,2001
Q1623135,George King,"George King (basketball, born 1928)",United States of America,Charleston,English,male,16 August 1928,1951,1958
Q182455,Wilt Chamberlain,Wilt Chamberlain,United States of America,Philadelphia,English,male,21 August 1936,1959,1973
Q1134048,James Thomas,James Thomas (basketball),United States of America,Schenectady,English,male,22 November 1980,2004,2015
Q1621683,Mike Evans,Mike Evans (basketball),United States of America,Goldsboro,English,male,19 April 1955,1979,1989
Q1109900,Tom Meschery,Tom Meschery,United States of America,Harbin,English,male,26 October 1938,1961,1971
Q1132778,Butch Beard,Butch Beard,United States of America,Hardinsburg,English,male,05 May 1947,1969,1979
Q1159115,Dan Majerle,Dan Majerle,United States of America,Traverse City,English,male,09 September 1965,1988,2002
Q1132676,Rod Strickland,Rod Strickland,United States of America,The Bronx,English,male,11 July 1966,1988,2005
Q1620628,Kirk Haston,Kirk Haston,United States of America,Lobelville,English,male,10 March 1979,,
Q1621417,Scott Padgett,Scott Padgett,United States of America,Louisville,English,male,19 April 1976,1999,2007
Q1621720,Rod Higgins,Rod Higgins,United States of America,Monroe,English,male,31 January 1960,1982,1994
Q1623147,Othell Wilson,Othell Wilson,United States of America,Alexandria,English,male,26 October 1961,1984,1987
Q1170394,Joe Pace,Joe Pace,United States of America,New Brunswick,English,male,18 December 1953,1976,1981
Q1618767,Ryan Humphrey,Ryan Humphrey,United States of America,Tulsa,English,male,24 July 1979,2002,2014
Q505500,Ed Macauley,Ed Macauley,United States of America,St. Louis,English,male,22 March 1928,1949,1959
Q1620780,Corsley Edwards,Corsley Edwards,United States of America,Baltimore,English,male,05 March 1979,2002,2014
Q1621669,Clemon Johnson,Clemon Johnson,United States of America,Monticello,English,male,12 September 1956,1978,1993
Q1621778,Will Conroy,Will Conroy,United States of America,Portland,English,male,08 December 1982,2005,2014
Q1622164,Jeff Judkins,Jeff Judkins,United States of America,Salt Lake City,English,male,23 March 1956,1978,1983
Q1623295,Mel McGaha,Mel McGaha,United States of America,Bastrop,English,male,26 December 1926,1948,1949
Q724581,Howard Eisley,Howard Eisley,United States of America,Detroit,English,male,04 December 1972,1994,2006
Q510147,Randy Ayers,Randy Ayers,United States of America,Springfield,English,male,16 April 1956,,
Q1132658,Dallas Comegys,Dallas Comegys,United States of America,Philadelphia,English,male,17 August 1964,1987,2006
Q1155161,Kyle Macy,Kyle Macy,United States of America,Fort Wayne,English,male,09 April 1957,1980,1990
Q721011,Shammond Williams,Shammond Williams,Georgia; United States of America,The Bronx,English,male,05 April 1975,1998,2011
Q1242197,Donyell Marshall,Donyell Marshall,United States of America,Reading,English,male,18 May 1973,1994,2009
Q1184377,Dell Demps,Dell Demps,United States of America,Long Beach,English,male,12 February 1970,1992,2000
Q725886,Michael Batiste,Michael Batiste,United States of America,Long Beach,English,male,21 November 1977,2000,2014
Q1618149,Alvin Williams,Alvin Williams,United States of America,Philadelphia,English,male,06 August 1974,1997,2007
Q1621440,Johnny Bach,Johnny Bach,United States of America,Brooklyn,English,male,10 July 1924,1948,1950
Q1622762,Mark Bryant,Mark Bryant (basketball),United States of America,Glen Ridge,English,male,25 April 1965,1988,2003
Q1117654,Shane Heal,Shane Heal,Australia,Melbourne,,male,06 September 1970,1988,2009
Q1132528,Dave Corzine,Dave Corzine,United States of America,Arlington Heights,English,male,25 April 1956,1978,1992
Q1179612,DeSagana Diop,DeSagana Diop,Senegal,Dakar,,male,30 January 1982,2001,2013
Q763044,Jim King,"Jim King (basketball, born 1941)",United States of America,Tulsa,English,male,07 February 1941,1963,1973
Q179906,DeMarre Carroll,DeMarre Carroll,United States of America,Birmingham,English,male,27 July 1986,2009,
Q185268,Jared Dudley,Jared Dudley,United States of America,San Diego,English,male,10 July 1985,2007,
Q767363,Steve Hayes,Steve Hayes (basketball),United States of America,American Falls,English,male,02 August 1955,1977,1990
Q1617862,Dion Glover,Dion Glover,United States of America,Marietta,English,male,22 October 1978,1999,2008
Q1621478,Rodrick Rhodes,Rodrick Rhodes,United States of America,Jersey City,English,male,24 September 1973,1997,2003
Q505336,Bill Sharman,Bill Sharman,United States of America,Abilene,English,male,25 May 1926,1950,1961
Q1618739,Kevin Brooks,Kevin Brooks (basketball),United States of America,Beaufort,English,male,12 October 1969,1991,2004
Q190152,Larry Bird,Larry Bird,United States of America,West Baden Springs,English,male,07 December 1956,1979,1992
Q741265,Doug Christie,Doug Christie,United States of America,Seattle,English,male,09 May 1970,1992,2007
Q739699,Alex English,Alex English,United States of America,Columbia,English,male,05 January 1954,1976,1992
Q740121,Tyrone Hill,Tyrone Hill,United States of America,Cincinnati,English,male,19 March 1968,1990,2003
Q742119,Buck Williams,Buck Williams,United States of America,Rocky Mount,English,male,08 March 1960,1981,1998
Q1111167,Tim James,Tim James (basketball),United States of America,Miami,English,male,25 December 1976,1999,2007
Q1134403,Eddie Jordan,Eddie Jordan (basketball),United States of America,"Washington, D.C.",English,male,29 January 1955,1977,1984
Q1170408,Darwin Cook,Darwin Cook,United States of America,Los Angeles,English,male,06 August 1958,1980,1992
Q1124553,Walt Kirk,Walt Kirk,United States of America,Mount Vernon,English,male,03 September 1924,1947,1952
Q1154068,Jerome Allen,Jerome Allen (basketball),United States of America,Philadelphia,English,male,28 January 1973,1995,2009
Q1159084,Dan Issel,Dan Issel,United States of America,Batavia,English,male,25 October 1948,1970,1985
Q179051,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,United States of America,New York City,English; American English,male,16 April 1947,1969,1989
Q188222,Jannero Pargo,Jannero Pargo,United States of America,Chicago,English,male,22 October 1979,2002,2017
Q513749,Chick Reiser,Chick Reiser,United States of America,New York City,English,male,17 January 1914,1938,1950
Q177928,Sidney Moncrief,Sidney Moncrief,United States of America,Little Rock,English,male,21 September 1957,1979,1991
Q723208,Johnny Moore,Johnny Moore (basketball),United States of America,Altoona,English,male,03 March 1958,1980,1992
Q1625585,Joe Roberts,Joe Roberts (basketball),United States of America,Columbus,,male,18 May 1936,1960,1968
Q1618785,Anthony Goldwire,Anthony Goldwire,United States of America,West Palm Beach,English,male,06 September 1971,1994,2008
Q1623168,Michael Young,"Michael Young (basketball, born 1961)",United States of America,Houston,English,male,02 January 1961,1984,1996
Q514456,Dolph Schayes,Dolph Schayes,United States of America,The Bronx,English,male,19 May 1928,1948,1964
Q1617777,Bob Nash,Bob Nash (basketball),United States of America,Hartford,English,male,24 August 1950,1972,1979
Q1886445,Tyrone Corbin,Tyrone Corbin,United States of America,Columbia,English,male,31 December 1962,1985,2001
Q2062631,Rick Mahorn,Rick Mahorn,United States of America,Hartford,English,male,21 September 1958,1980,1999
Q1424170,Otis Smith,Otis Smith (basketball),United States of America,Jacksonville,English,male,30 January 1964,1986,1997
Q2011732,Žan Tabak,%C5%BDan Tabak,Yugoslavia; Croatia,Split,,male,15 June 1970,1985,2005
Q932632,Ronald Dupree,Ronald Dupree,United States of America,Biloxi,English,male,26 January 1981,2003,2014
Q940442,Keith Jennings,Keith Jennings (basketball),United States of America,Culpeper,English,male,02 November 1968,1991,2004
Q1887670,Marques Johnson,Marques Johnson,United States of America,Natchitoches,English,male,08 February 1956,1977,1990
Q932879,Cedric Ceballos,Cedric Ceballos,United States of America,Maui,English,male,02 August 1969,1990,2011
Q1960818,Dick Fitzgerald,Dick Fitzgerald (basketball),United States of America,Queens,English,male,18 November 1920,1946,1947
Q948237,Phil Ford,Phil Ford (basketball),United States of America,Rocky Mount,English,male,09 February 1956,1978,1985
Q1458255,Popeye Jones,Popeye Jones,United States of America,Dresden,English,male,17 June 1970,1992,2004
Q942651,Bobby Cook,Bobby Cook (basketball),United States of America,Harvard,English,male,01 April 1923,1948,1950
Q1687804,Jerry Colangelo,Jerry Colangelo,United States of America,Chicago Heights,English,male,20 November 1939,,
Q555100,Cedric Maxwell,Cedric Maxwell,United States of America,Kinston,English,male,21 November 1955,1977,1988
Q557194,Quincy Acy,Quincy Acy,United States of America,Tyler,English,male,06 October 1990,2012,
Q1424495,Reggie Theus,Reggie Theus,United States of America,Inglewood,English,male,13 October 1957,1978,1993
Q1444934,Jeff Ruland,Jeff Ruland,United States of America,Bay Shore,English,male,16 December 1958,1980,1993
Q1449882,J. J. Anderson,J. J. Anderson,United States of America,Springfield,,male,23 September 1960,1982,1999
Q1442329,Bill Hanzlik,Bill Hanzlik,United States of America,Middletown,English,male,06 December 1957,1980,1990
Q280376,Rolando Blackman,Rolando Blackman,Panama; United States of America,Panama City,English,male,26 February 1959,1981,1997
Q1748215,Gerald Brown,Gerald Brown (basketball),United States of America,Los Angeles,English,male,28 July 1975,1998,2012
Q1665679,"Mike Dunleavy, Sr.",Mike Dunleavy Sr.,United States of America,Brooklyn,,male,21 March 1954,1976,1990
Q930445,Eric Snow,Eric Snow,United States of America,Canton,English,male,24 April 1973,1995,2008
Q943368,Winston Bennett,Winston Bennett,United States of America,Louisville,English,male,09 February 1965,1988,1992
Q1820956,Lester Habegger,Les Habegger,United States of America,Berne,,male,13 November 1924,,
Q557526,Rudy Tomjanovich,Rudy Tomjanovich,United States of America,Hamtramck,English,male,24 November 1948,1970,1981
Q1891397,Monty Williams,Monty Williams,United States of America,Fredericksburg,English,male,08 October 1971,1994,2003
Q930865,George Karl,George Karl,United States of America,Penn Hills,English,male,12 May 1951,,
Q562764,Kurt Thomas,Kurt Thomas (basketball),United States of America,Dallas,English,male,04 October 1972,1995,2013
Q938730,Malik Allen,Malik Allen,United States of America,Willingboro Township,English,male,27 June 1978,2000,2011
Q1450542,Bones McKinney,Bones McKinney,United States of America,Lowland,English,male,01 January 1919,1946,1952
Q1452898,Ed Sadowski,Ed Sadowski (basketball),United States of America,Akron,English,male,11 July 1917,1940,1950
Q1458187,Anthony Peeler,Anthony Peeler,United States of America,Kansas City,English,male,25 November 1969,1992,2005
Q289398,Chris Mullin,Chris Mullin,United States of America,Brooklyn,English,male,30 July 1963,1985,2001
Q1815125,Randy Smith,Randy Smith (basketball),United States of America,Bellport,English,male,12 December 1948,1971,1983
Q282290,Buddy Jeannette,Buddy Jeannette,United States of America,New Kensington,English,male,15 September 1917,1938,1950
Q295322,Metta Sandiford-Artest,Metta Sandiford-Artest,United States of America,Queens,English,male,13 November 1979,1999,2017
Q1456855,Jim Les,Jim Les,United States of America,Niles,English,male,18 August 1963,1987,1995
Q281499,Larry Steele,Larry Steele,United States of America,Greencastle,English,male,05 May 1949,1971,1980
Q555110,Jarrett Jack,Jarrett Jack,United States of America,Fort Washington,English,male,28 October 1983,2005,
Q561862,Petteri Koponen,Petteri Koponen,Finland,Helsinki,,male,13 April 1988,2004,
Q1913679,Max Zaslofsky,Max Zaslofsky,United States of America,Brooklyn,English,male,07 December 1925,1946,1956
Q1659574,Julius Nwosu,Julius Nwosu,Nigeria,,,male,01 May 1971,1993,2010
Q2033175,George Grimshaw,George Grimshaw (basketball),United States of America,England,English,male,24 September 1919,1946,1947
Q1771117,Chuck Mrazovich,Chuck Mrazovich,United States of America,Ambridge,English,male,26 February 1924,1950,1953
Q288853,Mel Daniels,Mel Daniels,United States of America,Detroit,English,male,20 July 1944,1967,1976
Q933804,Cenk Akyol,Cenk Akyol,Turkey,Istanbul,Turkish,male,16 April 1987,2003,
Q939309,Satch Sanders,Satch Sanders,United States of America,New York City,English,male,08 November 1938,1960,1973
Q2023534,Olden Polynice,Olden Polynice,Haiti,Port-au-Prince,,male,21 November 1964,1986,2006
Q930031,Don Boven,Don Boven,United States of America,Kalamazoo,English,male,06 March 1925,1949,1953
Q936680,Kermit Washington,Kermit Washington,United States of America,"Washington, D.C.",English,male,17 September 1951,1973,1987
Q939422,Shelden Williams,Shelden Williams,United States of America,Oklahoma City,English,male,21 October 1983,2006,2015
Q1452899,Howie Dallmar,Howie Dallmar,United States of America,San Francisco,English,male,24 May 1922,1946,1949
Q1458282,Bob Ferry,Bob Ferry,United States of America,St. Louis,,male,31 May 1937,1959,1968
Q557841,Rick Adelman,Rick Adelman,United States of America,Lynwood,English,male,16 June 1946,1968,1975
Q1749594,Paul Grant,Paul Grant (basketball),United States of America,Pittsburgh,English,male,06 January 1974,,2004
Q1428911,Flip Saunders,Flip Saunders,United States of America,Cleveland,English,male,23 February 1955,,
Q948037,Joe Wolf,Joe Wolf,United States of America,Kohler,English,male,17 December 1964,1987,1999
Q1450899,Fred Scolari,Fred Scolari,United States of America,San Francisco,English,male,01 March 1922,,
Q1799513,Roger Powell,Roger Powell (basketball),United States of America,Joliet,English,male,15 January 1983,2005,2011
Q1448496,Joe Mullaney,Joe Mullaney (basketball),United States of America,Long Island,English,male,17 November 1924,1949,1950
Q1419688,Randolph Childress,Randolph Childress,United States of America,"Washington, D.C.",English,male,21 September 1972,1995,2011
Q295340,Clyde Drexler,Clyde Drexler,United States of America,New Orleans,English,male,22 June 1962,1983,1998
Q1432596,Orlando Woolridge,Orlando Woolridge,United States of America,Bernice,English,male,16 December 1959,1981,1996
Q1442393,David Rivers,David Rivers,United States of America,Jersey City,English,male,20 January 1965,1988,2001
Q555355,Jeff Hornacek,Jeff Hornacek,United States of America,Elmhurst,English,male,03 May 1963,1986,2000
