wikidata_id:ID(Player),name,enwiki_title,country_of_citizenship,place_of_birth,native_language,sex_or_gender,date_of_birth,height,mass,work_period_start,work_period_end,nickname,handedness,schools_attended
Q344531,İzzet Türkyılmaz,%C4%B0zzet T%C3%BCrky%C4%B1lmaz,Turkey,Burhaniye,Turkish,male,20 May 1990,216 centimetre,95 kilogram,2007,,,,
Q348696,Walt Frazier,Walt Frazier,United States of America,Atlanta,English,male,29 March 1945,193 centimetre,93 kilogram,1967,1980,,,David T. Howard High School; Southern Illinois University Carbondale
Q372859,Adrian Dantley,Adrian Dantley,United States of America,"Washington, D.C.",English,male,28 February 1955,196 centimetre,95 kilogram,1976,1991,Teach; A.D.; The Teacher,,DeMatha Catholic High School; University of Notre Dame
Q375767,Mitch Richmond,Mitch Richmond,United States of America,Fort Lauderdale,English,male,30 June 1965,196 centimetre,98 kilogram,1988,2002,The Rock,,Boyd H. Anderson High School; Moberly Area Community College; Kansas State University
Q375600,Don Nelson,Don Nelson,United States of America,Muskegon,English,male,15 May 1940,198 centimetre,95 kilogram,1962,1976,,,University of Iowa; Rock Island High School
Q378660,Jon Sundvold,Jon Sundvold,United States of America,Sioux Falls,English,male,02 July 1961,188 centimetre,77 kilogram,1983,1991,,,University of Missouri
Q348032,Šarūnas Marčiulionis,%C5%A0ar%C5%ABnas Mar%C4%8Diulionis,Lithuania; Soviet Union,Kaunas,,male,13 June 1964,196 centimetre,91 kilogram,1981,1997,,,Vilnius University
Q348618,Kyrie Irving,Kyrie Irving,Australia; United States of America,Melbourne,English,male,23 March 1992,188 centimetre,88.5 kilogram,2011,,,,St. Patrick High School; Montclair Kimberley Academy; Duke University
Q461825,Stephen Jackson,Stephen Jackson,United States of America,Port Arthur,English,male,05 April 1978,203 centimetre,99 kilogram,1997,2014,,,Memorial High School
Q137450,Paul Davis,Paul Davis (basketball),United States of America,Rochester,English,male,21 July 1984,211 centimetre,122 kilogram,2006,2016,Big Paul,,Michigan State University; Rochester High School
Q370486,Mario Chalmers,Mario Chalmers,United States of America,Anchorage,English,male,19 May 1986,185 centimetre,88 kilogram,2008,,,,Steller Secondary School; University of Kansas; Bartlett High School
Q370779,Win Wilfong,Win Wilfong,United States of America,Puxico,English,male,18 March 1933,188 centimetre,84 kilogram,1957,1963,,,University of Missouri
Q460131,Brook Lopez,Brook Lopez,United States of America,North Hollywood,English,male,01 April 1988,213 centimetre,118 kilogram,2008,,,,San Joaquin Memorial High School; Stanford University
Q460516,Damon Stoudamire,Damon Stoudamire,United States of America,Portland,English,male,03 September 1973,178 centimetre,78 kilogram,1995,2008,Super Ratón,,University of Arizona; Ida B. Wells-Barnett High School
Q461763,Raja Bell,Raja Bell,United States of America; United States Virgin Islands,Saint Croix,English,male,19 September 1976,196 centimetre,93 kilogram,1999,2013,,,Boston University; Boston University; Florida International University; Miami Killian High School
Q380015,Igor Rakočević,Igor Rako%C4%8Devi%C4%87,Serbia; Serbia and Montenegro,Belgrade,,male,29 March 1978,191 centimetre,83 kilogram,1995,2013,,,Ninth Belgrade Gymnasium
Q454850,Ossie Schectman,Ossie Schectman,United States of America,Kew Gardens,English,male,30 March 1919,1.83 metre,80 kilogram,1941,1948,,,Long Island University; Samuel J. Tilden High School; LIU Brooklyn
Q456374,DeMar DeRozan,DeMar DeRozan,United States of America,Compton,English,male,07 August 1989,201 centimetre,100 kilogram,2009,,,,University of Southern California; Compton High School
Q136678,James Harden,James Harden,United States of America,Los Angeles,English,male,26 August 1989,196 centimetre,100 kilogram,2009,,,,Artesia High School; Arizona State University
Q65594,Boniface N'Dong,Boniface N%27Dong,Senegal; Germany,Dakar,,male,03 September 1977,213 centimetre,90 kilogram,1999,2013,,,
Q72353,Žydrūnas Ilgauskas,Zydrunas Ilgauskas,Lithuania; United States of America,Kaunas,English,male,05 June 1975,221 centimetre,108 kilogram,1993,2011,,,
Q74005,Vitor Faverani,V%C3%ADtor Faverani,Brazil,Porto Alegre,,male,05 May 1988,210 centimetre,118 kilogram,2005,,,,
Q319313,Josh Smith,Josh Smith,United States of America,College Park,English,male,05 December 1985,206 centimetre,107 kilogram,2004,,,,McEachern High School; Dillard High School
Q134183,Magic Johnson,Magic Johnson,United States of America,Lansing,English,male,14 August 1959,206 centimetre,100 kilogram,1979,1991,Mr. J; Magic; Buck; The Magic Man; Tragic Johnson; E.J. the Deejay; June Bug; The Magic Show,,Everett High School; Michigan State University; Michigan State University
Q271933,Patrick Ewing,Patrick Ewing,Jamaica; United States of America,Kingston,English,male,05 August 1962,213 centimetre,109 kilogram,1985,2002,Big Pat; Pat; Hoya Destroya,,Cambridge Rindge and Latin School; Georgetown University
Q273256,Hakeem Olajuwon,Hakeem Olajuwon,Nigeria; United States of America,Lagos,English; Yoruba,male,21 January 1963,213 centimetre,116 kilogram,1984,2002,Akeem the Dream; Hakeem the Dream; Little Moses; The Dream,,University of Houston
Q276835,Gerald Fitch,Gerald Fitch,United States of America,Columbus,English,male,12 August 1982,190 centimetre,85 kilogram,2004,,,,Westside High School; University of Kentucky
Q278203,Malik Sealy,Malik Sealy,United States of America,The Bronx,English,male,01 February 1970,203 centimetre,86 kilogram,1992,2000,Quiet Storm; Silk,,St. Nicholas of Tolentine High School; St. John's University
Q295521,Tayshaun Prince,Tayshaun Prince,United States of America,Compton,English,male,28 February 1980,206 centimetre,98 kilogram,2002,2016,,,University of Kentucky; Manuel Dominguez High School
Q348734,Taj Gibson,Taj Gibson,United States of America,Brooklyn,English,male,24 June 1985,206 centimetre,102 kilogram,2009,,"Hard Hat, Lunch Pail; Secretary of Defense; The Spin Cycle",,University of Southern California
Q372422,Bo Lamar,Bo Lamar,United States of America,Columbus,English,male,07 April 1951,185 centimetre,82 kilogram,1973,1977,,,University of Louisiana at Lafayette; East High School
Q377852,Duane Cooper,Duane Cooper,United States of America,Benton Harbor,English,male,25 June 1969,185 centimetre,84 kilogram,1992,2003,,,University of Southern California; Lakewood High School
Q373230,Corey Beck,Corey Beck,United States of America,Memphis,English,male,27 May 1971,185 centimetre,86 kilogram,1995,2001,,,University of Arkansas
Q377693,Richard Jefferson,Richard Jefferson,United States of America,Los Angeles,English,male,21 June 1980,201 centimetre,101 kilogram,2001,2018,,,University of Arizona; Moon Valley High School
Q448245,Alvan Adams,Alvan Adams,United States of America,Lawrence,English,male,19 July 1954,206 centimetre,95 kilogram,1975,1988,Double A; The Oklahoma Kid,,University of Oklahoma; Putnam City High School
Q460116,Gheorghe Mureșan,Gheorghe Mure%C8%99an,Romania,Tritenii de Jos,,male,14 February 1971,231 centimetre,138 kilogram,1991,2006,,,Babeș-Bolyai University
Q275183,Luol Deng,Luol Deng,South Sudan; United Kingdom,Wau,,male,16 April 1985,206 centimetre,100 kilogram,2004,2019,Lieutenant Deng,,St Mary's Catholic High School; Duke University; Blair Academy
Q70698,Uwe Blab,Uwe Blab,Germany,Munich,,male,26 March 1962,216 centimetre,115 kilogram,1985,1993,,,Indiana University Bloomington
Q318929,Danny Granger,Danny Granger,United States of America,New Orleans,English,male,20 April 1983,203 centimetre,100 kilogram,2005,2015,,,Grace King High School; University of New Mexico; Bradley University
Q318926,Sasha Vujačić,Sasha Vuja%C4%8Di%C4%87,Slovenia,Maribor,,male,08 March 1984,201 centimetre,93 kilogram,2001,,,,
Q319336,Stephon Marbury,Stephon Marbury,United States of America,Brooklyn,English,male,20 February 1977,188 centimetre,82 kilogram,1996,2018,,,Abraham Lincoln High School; Georgia Tech
Q343341,İbrahim Kutluay,%C4%B0brahim Kutluay,Turkey,Istanbul,Turkish,male,07 January 1974,197 centimetre,93 kilogram,1993,2009,,,
Q449642,Luke Walton,Luke Walton,United States of America,San Diego,English,male,28 March 1980,203 centimetre,106 kilogram,2003,2013,,,University of Arizona; University of Arizona; University of San Diego High School; Cathedral Catholic High School
Q371193,J. J. Barea,J. J. Barea,United States of America,Mayagüez,,male,26 June 1984,183 centimetre,84 kilogram,2001,,,,Miami Christian School; Northeastern University
Q371224,Raymond Felton,Raymond Felton,United States of America,Marion,English,male,26 June 1984,185 centimetre,90 kilogram,2005,,,,University of North Carolina at Chapel Hill
Q372803,Ken Keller,Ken Keller,United States of America,Brooklyn,English,male,01 January 1922,185 centimetre,82 kilogram,1946,1948,,,Bishop Loughlin Memorial High School
Q461574,Al Harrington,Al Harrington,United States of America,Orange,English,male,17 February 1980,206 centimetre,113 kilogram,1998,2015,,,St. Patrick High School
Q380018,Jonas Valančiūnas,Jonas Valan%C4%8Di%C5%ABnas,Lithuania,Utena,,male,06 May 1992,211 centimetre,111 kilogram,2008,,,,
Q449245,Alvin Robertson,Alvin Robertson,United States of America,Barberton,English,male,22 July 1962,191 centimetre,84 kilogram,1984,2000,,,Barberton High School; Crowder College; University of Arkansas
Q376230,Jim Bradley,Jim Bradley (basketball),United States of America,East Chicago,English,male,16 March 1952,203 centimetre,95 kilogram,1973,1979,,,Central High School; Northern Illinois University
