wikidata_id:ID(Team),name,enwiki_title,inception,owners
Q3128787,Waterloo Hawks,Waterloo Hawks,1948,
Q138089,Philadelphia 76ers,Philadelphia 76ers,1946,David Blitzer; Josh Harris
Q162954,Denver Nuggets,Denver Nuggets,1967,Kroenke Sports & Entertainment
Q169165,Washington Wizards,Washington Wizards,1961,
Q3360254,Anderson Packers,Anderson Packers,1945,
Q161345,Houston Rockets,Houston Rockets,1967,Leslie Alexander; Tilman J. Fertitta; Maloof family; Bob Breitbard
Q132893,Dallas Mavericks,Dallas Mavericks,1980,Mark Cuban
Q162990,Cleveland Cavaliers,Cleveland Cavaliers,1970,Dan Gilbert
Q6020894,St. Louis Hawks,,,
Q572134,Brooklyn Nets,Brooklyn Nets,1967,Joseph Tsai
Q513372,Indianapolis Olympians,Indianapolis Olympians,1949,
Q726423,Denver Nuggets,Denver Nuggets (1948%E2%80%931950),1948,
Q2354728,Sheboygan Red Skins,Sheboygan Red Skins,1938,
Q132880,Toronto Raptors,Toronto Raptors,1995,Maple Leaf Sports & Entertainment
Q3307390,Vancouver Grizzlies,Vancouver Grizzlies,1995,
Q157376,Golden State Warriors,Golden State Warriors,1946,Joe Lacob; Peter Guber
Q164177,Phoenix Suns,Phoenix Suns,1968,Robert Sarver
Q159893,Atlanta Hawks,Atlanta Hawks,1946,
Q161337,Orlando Magic,Orlando Magic,1989,
Q165529,Memphis Grizzlies,Memphis Grizzlies,1995,
Q170558,Minnesota Timberwolves,Minnesota Timberwolves,1989,Glen Taylor
Q2928124,Baltimore Bullets,Baltimore Bullets (1944%E2%80%931954),1944,
Q131364,New York Knicks,New York Knicks,1946,
Q169661,Detroit Pistons,Detroit Pistons,1937; 1941,
Q169637,Milwaukee Bucks,Milwaukee Bucks,1968,
Q170329,Indiana Pacers,Indiana Pacers,1967,Herb Simon
Q180950,Oklahoma City Thunder,Oklahoma City Thunder,2008; 1967,
Q121783,Los Angeles Lakers,Los Angeles Lakers,1946; 1947,Jeanie Buss
Q131371,Boston Celtics,Boston Celtics,1946,
Q167253,Portland Trail Blazers,Portland Trail Blazers,1970,Paul Allen
Q169138,Miami Heat,Miami Heat,1988,Micky Arison
Q170649,Utah Jazz,Utah Jazz,1974,
Q159729,San Antonio Spurs,San Antonio Spurs,1967,Peter Holt
Q128109,Chicago Bulls,Chicago Bulls,1966,Dick Klein; Jerry Reinsdorf
Q166105,Sacramento Kings,Sacramento Kings,1945,
Q172339,New Orleans Pelicans,New Orleans Pelicans,2002,Tom Benson
Q163480,Charlotte Hornets,Charlotte Hornets,1988,Michael Jordan; Robert L. Johnson; George Shinn
Q976396,Los Angeles Clippers,Los Angeles Clippers,1970,Los Angeles Lakers; Steve Ballmer
