wikidata_id:ID(Venue),name,enwiki_title
Q1327633,The Palace of Auburn Hills,The Palace of Auburn Hills
Q1166157,Toyota Center,Toyota Center
Q1201545,Detroit Olympia,Detroit Olympia
Q14706822,Long Island Arena,Long Island Arena
Q5259698,Denver Coliseum,Denver Coliseum
Q223240,Capital One Arena,Capital One Arena
Q549437,Veterans Memorial Coliseum,"Veterans Memorial Coliseum (Portland, Oregon)"
Q3656844,Capital Centre,"Capital Centre (Landover, Maryland)"
Q5337822,Edgerton Park Arena,Edgerton Park Arena
Q420129,Kaseya Center,Kaseya Center
Q282675,Target Center,Target Center
Q1515840,Smoothie King Center,Smoothie King Center
Q686525,Thomas & Mack Center,Thomas %26 Mack Center
Q9035055,Moody Coliseum,Moody Coliseum
Q818735,Wells Fargo Center,Wells Fargo Center (Philadelphia)
Q3024991,Kiel Auditorium,Kiel Auditorium
Q745327,Minneapolis Armory,Minneapolis Armory
Q1666325,International Amphitheatre,International Amphitheatre
Q1538690,Footprint Center,Footprint Center
Q406972,Scotiabank Arena,Scotiabank Arena
Q3315539,Minneapolis Auditorium,Minneapolis Auditorium
Q4653610,ARCO Arena I,ARCO Arena (1985)
Q2927640,Buffalo Memorial Auditorium,Buffalo Memorial Auditorium
Q538218,Meadowlands Arena,Meadowlands Arena
Q18154984,Little Caesars Arena,Little Caesars Arena
Q7011384,Golden 1 Center,Golden 1 Center
Q632138,Charlotte Coliseum,Charlotte Coliseum
Q639129,Kia Forum,Kia Forum
Q1970067,Omni Coliseum,Omni Coliseum
Q670890,Arizona Veterans Memorial Coliseum,Arizona Veterans Memorial Coliseum
Q2703852,Chicago Stadium,Chicago Stadium
Q1104711,TCF Center,Huntington Place
Q1139021,Oakland Arena,Oakland Arena
Q93831,ARCO Arena,ARCO Arena
Q14704450,Municipal Auditorium,"Municipal Auditorium (Kansas City, Missouri)"
Q795470,Ball Arena,Ball Arena
Q807966,Barclays Center,Barclays Center
Q3566224,Oncenter War Memorial Arena,Upstate Medical University Arena
Q2739940,Baltimore Arena,CFG Bank Arena
Q186125,Madison Square Garden,Madison Square Garden
Q2081796,McNichols Sports Arena,McNichols Sports Arena
Q919959,Matthews Arena,Matthews Arena
Q76318,Rogers Centre,Rogers Centre
Q1058931,Georgia Dome,Georgia Dome
Q14688239,Wharton Field House,Wharton Field House
Q463345,American Airlines Center,American Airlines Center
Q1142808,UW–Milwaukee Panther Arena,UW%E2%80%93Milwaukee Panther Arena
Q1145169,HemisFair Arena,HemisFair Arena
Q1618347,Alamodome,Alamodome
Q5123035,Lubbock Municipal Coliseum,Lubbock Municipal Coliseum
Q7691702,Teaneck Armory,Teaneck Armory
Q2085822,Spectrum,Spectrum (arena)
Q3785713,Hinkle Fieldhouse,Hinkle Fieldhouse
Q5259672,Denver Auditorium Arena,Denver Auditorium Arena
Q639975,United Center,United Center
Q432105,TD Garden,TD Garden
Q1438829,Fort Worth Convention Center,Fort Worth Convention Center
Q1857422,Miami Arena,Miami Arena
Q517318,Rogers Arena,Rogers Arena
Q781955,War Memorial Gymnasium,Sobrato Center
Q6686804,Jersey Mike's Arena,Jersey Mike%27s Arena
Q604015,Cow Palace,Cow Palace
Q1571403,Los Angeles Memorial Sports Arena,Los Angeles Memorial Sports Arena
Q2982682,Coliseum at Richfield,Richfield Coliseum
Q885674,Blue Cross Arena,Blue Cross Arena
Q756452,Caesars Superdome,Caesars Superdome
Q6083131,Island Garden,Island Garden
Q1783634,XL Center,XL Center
Q977529,Climate Pledge Arena,Climate Pledge Arena
Q6936134,Municipal Auditorium,Municipal Auditorium (New Orleans)
Q1072186,Hubert H. Humphrey Metrodome,Hubert H. Humphrey Metrodome
Q481795,Amway Center,Kia Center
Q1144284,Allen County War Memorial Coliseum,Allen County War Memorial Coliseum
Q6801072,McElroy Auditorium,The Hippodrome
Q14688354,Indiana Farmers Coliseum,Indiana Farmers Coliseum
Q3378842,Philadelphia Arena,Philadelphia Arena
Q894567,Boston Garden,Boston Garden
Q1347442,Moda Center,Moda Center
Q3378843,Philadelphia Convention Hall and Civic Center,Philadelphia Convention Hall and Civic Center
Q298573,Frost Bank Center,Frost Bank Center
Q5132059,Cleveland Arena,Cleveland Arena
Q1489399,Hy-Vee Arena,Hy-Vee Arena
Q4852825,Baltimore Coliseum,Baltimore Coliseum
Q2781236,69th Regiment Armory,69th Regiment Armory
Q1570942,Tacoma Dome,Tacoma Dome
Q2370898,Chicago Coliseum,Chicago Coliseum
Q1123297,State Farm Arena,State Farm Arena
Q14688290,Anderson High School Wigwam,Anderson High School Wigwam
Q186080,Crypto.com Arena,Crypto.com Arena
Q211662,Pontiac Silverdome,Pontiac Silverdome
Q3012439,Kay Bailey Hutchison Convention Center,Kay Bailey Hutchison Convention Center
Q6694553,Loyola Field House,Loyola Field House
Q261863,SAP Center,SAP Center
Q1492102,McCamish Pavilion,McCamish Pavilion
Q387157,Rocket Mortgage FieldHouse,Rocket Mortgage FieldHouse
Q545007,Gainbridge Fieldhouse,Gainbridge Fieldhouse
Q481794,Amway Arena,Amway Arena
Q17030210,Salt Palace,Salt Palace (arena)
Q641212,FedExForum,FedExForum
Q7056750,North Side High School Gym,North Side High School Gym
Q3106621,Pechanga Arena,Pechanga Arena
Q7089414,Omaha Civic Auditorium,Omaha Civic Auditorium
Q1814534,Maple Leaf Gardens,Maple Leaf Gardens
Q849027,Prudential Center,Prudential Center
Q665434,Paycom Center,Paycom Center
Q1859962,Reunion Arena,Reunion Arena
Q6728098,Madison Square Garden,Madison Square Garden (1925)
Q2226897,Pyramid Arena,Memphis Pyramid
Q5876764,Fertitta Center,Fertitta Center
Q82294,Delta Center,Delta Center
Q7492276,Sheboygan Municipal Auditorium and Armory,Sheboygan Armory
Q3294309,Market Square Arena,Market Square Arena
