:START_ID(Player),:END_ID(Team),time
Q51337526,Q128109,2018
Q60951627,Q170558,2020
Q32860369,Q163480,2018
Q28741203,Q163480,2020
Q926248,Q170329,2011
Q1195813,Q2928124,21 March 1949
Q63070175,Q976396,2019
Q3809718,Q131371,01 July 1947
Q29045037,Q169165,2018
Q559449,Q162990,2009
Q656414,Q170558,24 June 2010
Q2346231,Q157376,1984
Q2561861,Q169138,2008
Q2698565,Q131364,01 July 1947
Q51337307,Q159893,2018
Q29165842,Q172339,2019
Q440382,Q138089,24 June 2010
Q85792426,Q128109,2020
Q18921278,Q170329,2018
Q22959154,Q131364,2017
Q47543119,Q169661,2019
Q54311721,Q159893,2018
Q21620668,Q169138,2017
Q49692513,Q167253,2018
Q55138460,Q128109,2019
Q55136065,Q976396,2018
Q21623063,Q131371,2017
Q50938690,Q138089,2019
Q2429412,Q128109,24 June 2010
Q56250275,Q164177,2020
Q3706951,Q131364,01 July 1947
Q313486,Q163480,1999
Q19864618,Q170649,2018
Q28731753,Q128109,2017
Q23542695,Q121783,2017
Q622308,Q167253,28 June 2012
Q60674264,Q121783,2019
Q20714917,Q132880,2016
Q1317442,Q180950,24 June 2010
Q28972128,Q166105,21 June 2018
Q2419972,Q159729,24 June 2010
Q1363861,Q572134,24 June 2010
Q61959905,Q169138,2019
Q2734374,Q169165,2007
Q28151848,Q131371,2018
Q44858580,Q159893,2020
Q2508597,Q169165,2010
Q63117693,Q162990,2019
Q28810445,Q162954,2018
Q50380184,Q170649,2020
Q61173132,Q167253,2020
Q382809,Q131371,01 July 1947
Q58422637,Q169637,2020
Q63112754,Q169138,2020
Q965310,Q161345,1998
Q24439139,Q170329,2017
Q2568175,Q167253,1982
Q973121,Q170329,24 June 2010
Q62083550,Q138089,1981
Q28054144,Q132880,2017
Q41421,Q128109,19 June 1984
Q24572649,Q180950,2017
Q2390225,Q165529,24 June 2010
Q20710441,Q167253,2017
Q2309475,Q138089,1992
Q275889,Q121783,2007
Q72941595,Q159729,2023
Q2429069,Q170558,24 June 2010
Q1693481,Q170329,2006
Q62764548,Q976396,2019
Q55386735,Q159729,2019
Q27926032,Q170329,2019
Q1195813,Q131364,01 July 1947
Q21622110,Q163480,2017
Q29048308,Q572134,2017
Q2664233,Q159893,24 June 2010
Q88234141,Q180950,2022
Q29109468,Q170649,2017
Q55614905,Q157376,2020
Q611372,Q169661,24 June 2010
Q26704887,Q132893,2017
Q510816,Q572134,24 June 2010
Q19706820,Q170558,2017
Q1627416,Q138089,1994
Q23880401,Q166105,2017
Q21621436,Q170649,2017
Q3820613,Q166105,1982
Q370268,Q169138,2002
Q19844712,Q159893,21 June 2018
Q48842,Q157376,2012
Q17465755,Q169637,2016
Q61787946,Q157376,2019
Q51580022,Q170649,2019
Q964139,Q161345,24 June 2010
Q1114256,Q172339,24 June 2010
Q898177,Q167253,2008
Q3759443,Q131371,01 July 1947
Q23800231,Q138089,2018
Q63190352,Q166105,2020
Q60736578,Q169138,2019
Q1363177,Q165529,24 June 2010
Q53846950,Q169165,2019
Q63042439,Q169661,2019
Q55642429,Q131371,2019
Q36159,Q162990,26 June 2003
Q62083526,Q138089,1980
Q28450897,Q165529,2018
Q82831692,Q159729,2020
Q24572734,Q138089,2017
Q554866,Q159729,2009
Q48857995,Q167253,2019
Q44968365,Q138089,2018
Q963613,Q2928124,01 July 1947
Q3723567,Q2928124,01 July 1947
Q3935014,Q121783,1970
Q66309754,Q162990,2020
Q1424414,Q161345,1983
Q2557724,Q169138,2005
Q1034012,Q162990,24 June 2010
Q19757619,Q164177,2017
Q736301,Q166105,2011
Q53397350,Q162990,2019
Q2334056,Q169165,2002
Q134183,Q121783,1979
Q2632351,Q169637,2010
Q930445,Q169637,1995
Q3703886,Q121783,1997
Q18706123,Q132880,2015
Q62860683,Q138089,2020
Q62113739,Q170558,2020
Q2713164,Q180950,24 June 2010
Q919197,Q170649,24 June 2010
Q3805594,Q131371,01 July 1947
Q58008659,Q161337,2020
Q513749,Q2928124,01 July 1947
Q1554023,Q138089,2015
Q963613,Q131364,10 May 1948
Q13606007,Q169637,2013
Q64759181,Q170649,2019
Q965531,Q157376,24 June 2010
Q75060241,Q131364,2020
Q27999533,Q169661,2019
Q775144,Q157376,2007
Q27925506,Q976396,2018
Q352159,Q157376,2009
Q2462787,Q161337,24 June 2010
Q29438680,Q121783,2017
Q51247599,Q131364,2019
Q2271388,Q138089,1999
Q32076468,Q131371,2019
Q928064,Q170558,24 June 2010
Q61968876,Q138089,2019
Q115509,Q162990,
Q127125,Q132893,
Q144703,Q159893,
Q161817,Q131371,
Q181601,Q128109,
Q205326,Q128109,
Q220565,Q572134,
Q265692,Q167253,
Q270981,Q164177,
Q275183,Q164177,
Q281499,Q167253,
Q286765,Q169661,
Q294788,Q170649,
Q298531,Q131371,
Q298981,Q166105,
Q310108,Q157376,
Q311895,Q169661,
Q313488,Q169637,
Q316256,Q169661,
Q318926,Q121783,
Q318929,Q170329,
Q319336,Q169637,
Q350464,Q163480,
Q352319,Q157376,
Q355750,Q121783,
Q357757,Q170649,
Q358093,Q165529,
Q358723,Q164177,
Q361134,Q132880,
Q360894,Q170649,
Q366607,Q159893,
Q368573,Q131364,
Q370275,Q161345,
Q371224,Q163480,
Q380018,Q132880,
Q428535,Q163480,
Q449642,Q121783,
Q449245,Q159729,
Q461407,Q169637,
Q461825,Q164177,
Q459471,Q572134,
Q384545,Q2928124,
Q507094,Q159893,
Q520368,Q170558,
Q521859,Q159729,
Q524908,Q121783,
Q525613,Q161345,
Q537972,Q169138,
Q540498,Q169165,
Q547400,Q121783,
Q549180,Q157376,
Q552014,Q131371,
Q553505,Q162990,
Q553318,Q169637,
Q555477,Q166105,
Q557508,Q161337,
Q558663,Q169661,
Q562764,Q169138,
Q539560,Q976396,
Q568335,Q169661,
Q548735,Q976396,
Q558601,Q976396,
Q590253,Q157376,
Q595258,Q162990,
Q600804,Q131371,
Q617619,Q170558,
Q628422,Q161337,
Q641523,Q169165,
Q648447,Q159893,
Q715618,Q170649,
Q716316,Q163480,
Q720679,Q167253,
Q724581,Q170558,
Q739699,Q169637,
Q781072,Q169661,
