:START_ID(Team),:END_ID(Venue),start_time,end_time
Q572134,Q1048921,1972,1977
Q169661,Q1144284,1952,1957
Q159893,Q1058931,1997,1999
Q169661,Q7056750,1948,1952
Q170329,Q3294309,1974,1999
Q159893,Q1970067,1972,1997
Q121783,Q1571403,1960,1967
Q180950,Q1570942,1994,1995
Q180950,Q977529,1985,1994
Q180950,Q977529,1967,1978
Q180950,Q977529,1995,2008
Q165529,Q2226897,2001,2004
Q169661,Q1201545,1957,1961
Q976396,Q2927640,1970,1978
Q163480,Q632138,1988,2002
Q163480,Q632138,2004,2005
Q131371,Q1783634,1975,1995
Q572134,Q7691702,1967,1968
Q169138,Q1857422,1988,1999
Q170649,Q756452,1975,1979
Q131371,Q919959,1946,1947
Q169637,Q737976,1988,2018
Q2354728,Q104857179,1938,1942
Q572134,Q538218,1981,2010
Q161345,Q2435324,1975,2003
Q138089,Q7603208,1949,1951
Q2354728,Q7492276,1942,1951
Q169661,Q1104711,1961,1978
Q159893,Q14688239,1946,1951
Q138089,Q2085822,1967,1996
Q159893,Q1142808,1951,1955
Q159893,Q3495282,1955,1968
Q976396,Q3106621,1978,1984
Q162954,Q5259698,1967,1970
Q121783,Q639129,1967,1999
Q170649,Q6936134,1974,1975
Q976396,Q1571403,1984,1999
Q138089,Q3566224,1951,1963
Q167253,Q549437,1970,1995
Q169165,Q2739940,1963,1973
Q159893,Q3024991,1955,1968
Q2928124,Q4852825,1944,1954
Q138089,Q3378842,1963,1967
Q162954,Q2081796,1975,1999
Q131364,Q6728098,1946,1968
Q572134,Q849027,2010,2012
Q169165,Q2370898,1962,1963
Q170329,Q14688354,1967,1974
Q159893,Q1492102,1997,1999
Q159893,Q1492102,1968,1972
Q170649,Q686525,1983,1984
Q121783,Q745327,1947,1960
Q169165,Q1666325,1961,1962
Q132893,Q1859962,1980,2001
Q131371,Q894567,1946,1995
Q161345,Q3106621,1967,1971
Q131364,Q2781236,1946,1960
Q169637,Q1142808,1968,1988
Q169661,Q211662,1978,1988
Q128109,Q2703852,1967,1994
Q180950,Q990430,1978,1985
Q169661,Q1327633,1988,2017
Q121783,Q3315539,1947,1959
Q726423,Q5259672,1948,1950
Q170649,Q6694553,1974,1975
Q976396,Q1814534,1971,1974
Q161337,Q481794,1989,2010
Q162990,Q2982682,1974,1994
Q138089,Q3378843,1963,1967
Q169661,Q5021351,1957,1961
Q572134,Q6083131,1969,1972
Q162954,Q5259672,1967,1975
Q572134,Q14706822,1968,1969
Q169165,Q3656844,1973,1997
Q572134,Q6686804,1977,1981
Q128109,Q1666325,1966,1967
Q170649,Q17030210,1979,1991
Q161345,Q5876764,1971,1975
Q166105,Q5337822,1945,1955
Q159729,Q1618347,1993,2002
Q166105,Q7089414,1972,1978
Q166105,Q93831,1988,2016
Q166105,Q14704450,1972,1974
Q162990,Q5132059,1970,1974
Q157376,Q604015,1962,1964
Q157376,Q604015,1966,1971
Q131371,Q432105,1995,
Q159729,Q9035055,1967,1973
Q169661,Q18154984,2017,
Q162954,Q795470,1999,
Q138089,Q818735,1996,
Q166105,Q1092220,1957,1972
Q180950,Q665434,2008,
Q159729,Q5123035,1970,1971
Q132880,Q406972,1999,
Q170558,Q282675,1990,
Q169165,Q223240,1997,
Q132893,Q463345,2001,
Q159729,Q1145169,1973,1993
Q159893,Q1123297,1999,
Q164177,Q670890,1968,1992
Q159729,Q1438829,1970,1971
Q157376,Q15262098,2019,
Q169138,Q420129,1999,
Q159729,Q3012439,1967,1973
Q169637,Q20372160,2018,
Q166105,Q4653610,1985,1988
Q572134,Q807966,2012,
Q513372,Q3785713,1949,1953
Q128109,Q639975,1994,
Q3128787,Q6801072,1948,1951
Q157376,Q3378843,1952,1962
Q3360254,Q14688290,1949,1950
Q172339,Q1515840,2002,
Q172339,Q665434,2005,2007
Q167253,Q1347442,1995,
Q157376,Q781955,1962,1965
Q157376,Q3378842,1946,1962
Q163480,Q983870,2005,
Q157376,Q1139021,1971,2019
Q121783,Q186080,1999,
Q157376,Q261863,1996,1997
Q166105,Q885674,1955,1957
Q170558,Q1072186,1989,1990
Q166105,Q1489399,1974,1985
Q3307390,Q517318,1995,2001
Q164177,Q1538690,1992,
Q132880,Q76318,1995,1999
Q162990,Q387157,1994,
Q161337,Q481795,2010,
Q976396,Q186080,1999,
Q170649,Q82294,1991,
Q170329,Q545007,1999,
Q157376,Q4909197,1968,1971
Q157376,Q4909197,1964,1967
Q159729,Q298573,2002,
Q165529,Q641212,2004,
Q131364,Q186125,1968,
Q166105,Q7011384,2016,
Q161345,Q1166157,2003,
