:START_ID(Player),:END_ID(Coach)
Q17717,Q17717
Q40444,Q40444
Q40490,Q40490
Q48835,Q48835
Q60971,Q60971
Q61675,Q61675
Q65594,Q65594
Q70386,Q70386
Q71980,Q71980
Q112449,Q112449
Q115509,Q115509
Q127125,Q127125
Q134183,Q134183
Q150327,Q150327
Q150502,Q150502
Q380006,Q380006
Q380033,Q380033
Q380515,Q380515
Q380541,Q380541
Q382285,Q382285
Q384252,Q384252
Q385436,Q385436
Q387141,Q387141
Q388134,Q388134
Q390215,Q390215
Q431329,Q431329
Q433148,Q433148
Q434824,Q434824
Q440111,Q440111
Q440324,Q440324
Q440357,Q440357
Q443125,Q443125
Q443267,Q443267
Q446086,Q446086
Q449642,Q449642
Q451780,Q451780
Q456776,Q456776
Q458065,Q458065
Q459413,Q459413
Q459471,Q459471
Q460193,Q460193
Q460516,Q460516
Q349684,Q349684
Q350464,Q350464
Q351802,Q351802
Q352073,Q352073
Q352093,Q352093
Q352110,Q352110
Q352118,Q352118
Q352162,Q352162
Q352168,Q352168
Q352319,Q352319
Q357458,Q357458
Q359401,Q359401
Q360955,Q360955
Q368561,Q368561
Q369563,Q369563
Q370268,Q370268
Q370572,Q370572
Q371193,Q371193
Q372180,Q372180
Q372408,Q372408
Q372859,Q372859
Q375600,Q375600
Q375767,Q375767
Q298512,Q298512
Q298531,Q298531
Q301757,Q301757
Q302068,Q302068
Q304349,Q304349
Q311195,Q311195
Q311542,Q311542
Q312643,Q312643
Q312648,Q312648
Q313485,Q313485
Q314185,Q314185
Q314614,Q314614
Q314621,Q314621
Q316161,Q316161
Q316179,Q316179
Q316246,Q316246
Q316252,Q316252
Q317209,Q317209
Q324249,Q324249
Q335762,Q335762
Q339256,Q339256
Q339988,Q339988
Q177928,Q177928
Q179051,Q179051
Q179906,Q179906
Q182455,Q182455
Q185268,Q185268
Q188222,Q188222
Q190152,Q190152
Q192955,Q192955
Q193020,Q193020
Q199896,Q199896
Q201608,Q201608
Q204285,Q204285
Q221341,Q221341
Q242185,Q242185
Q259401,Q259401
Q264393,Q264393
Q264533,Q264533
Q268303,Q268303
Q270975,Q270975
Q271933,Q271933
Q280376,Q280376
Q281499,Q281499
Q282290,Q282290
Q288853,Q288853
Q289398,Q289398
Q295322,Q295322
Q295340,Q295340
Q19615890,Q19615890
Q15737093,Q15737093
Q16010498,Q16010498
Q16019753,Q16019753
Q51046895,Q51046895
Q17183534,Q17183534
Q17183747,Q17183747
Q17184019,Q17184019
Q22004418,Q22004418
Q13460814,Q13460814
Q13673375,Q13673375
Q18151213,Q18151213
Q35707505,Q35707505
Q19429398,Q19429398
Q724581,Q724581
Q725886,Q725886
Q729072,Q729072
Q731502,Q731502
Q739699,Q739699
Q740121,Q740121
Q741265,Q741265
Q742049,Q742049
Q742119,Q742119
Q763044,Q763044
Q767363,Q767363
Q770696,Q770696
Q772141,Q772141
Q775184,Q775184
Q776019,Q776019
Q776784,Q776784
Q782348,Q782348
Q782461,Q782461
Q786633,Q786633
Q817876,Q817876
Q836418,Q836418
Q887885,Q887885
Q887909,Q887909
Q888056,Q888056
Q888707,Q888707
Q918347,Q918347
Q918916,Q918916
Q919954,Q919954
Q922434,Q922434
