:START_ID(Team),:END_ID(Division)
Q128109,Q745984
Q169637,Q745984
Q169661,Q745984
Q170329,Q745984
Q180950,Q723639
Q162954,Q723639
Q167253,Q723639
Q170649,Q723639
Q162990,Q745984
Q170558,Q723639
Q161345,Q391166
Q131364,Q638908
Q163480,Q639928
Q572134,Q638908
Q131371,Q638908
Q976396,Q206201
Q138089,Q638908
Q169165,Q639928
Q121783,Q206201
Q169138,Q639928
Q165529,Q391166
Q159893,Q639928
Q161337,Q639928
Q132893,Q391166
Q159729,Q391166
Q166105,Q206201
Q172339,Q391166
Q132880,Q638908
Q157376,Q206201
Q164177,Q206201
