:START_ID(Player),:END_ID(Team),start_time,end_time,sport_number,position
Q298531,Q976396,12 December 2011,01 July 2013,1,point guard
Q298531,Q162954,2008,2011,1,point guard; shooting guard
Q36159,Q162990,2014,2018,23,power forward; small forward
Q36159,Q162990,2003,2010,23,small forward; shooting guard
Q298531,Q169661,2013,01 July 2014,1,point guard
Q298531,Q169661,2002,2008,1,point guard
Q449245,Q159729,1984,1989,21,shooting guard
Q298531,Q131371,1997,1998,4,point guard
Q298981,Q161337,2010,03 January 2014,15,power forward
Q298981,Q161337,2004,2009,15,small forward
Q2566735,Q167253,1985,1995,30,point guard
Q190094,Q138089,1996,2006,3,shooting guard; point guard
Q190094,Q138089,2009,2010,3,shooting guard
Q295364,Q128109,2006,2008,3,center; power forward
Q295364,Q161337,1999,2000,4,center; power forward
Q2318539,Q167253,1987,1993,00,center
Q295364,Q162990,2008,2009,4,power forward; center
Q361134,Q976396,2008,2010,23,power forward; center
Q295364,Q169165,1996,1999,30,power forward; center
Q190094,Q162954,2006,2008,3,point guard; shooting guard
Q440121,Q169165,1975,1977,21,shooting guard; point guard
Q190094,Q165529,2009,2009,3,point guard
Q10516040,Q170649,2013,,3,point guard
Q361134,Q162954,2002,2008,23,center
Q295364,Q169661,2000,2006,3,center
Q295364,Q169661,2009,2012,6,center; power forward
Q984367,Q170329,1996,2002,5,small forward
Q264393,Q169637,1982,1983,36,power forward
Q361134,Q167253,16 February 2010,15 March 2012,23,center
Q463200,Q169138,1991,1994,3,shooting guard
Q190094,Q169661,2008,2009,1,point guard
Q298531,Q170558,2000,2002,4,point guard; shooting guard
Q312643,Q131371,1950,1963,14,point guard
Q318929,Q169138,2014,,,small forward
Q357757,Q170649,1982,1993,53,center
Q463200,Q159729,2001,2003,8,shooting guard
Q24519,Q165529,2012,2013,1,shooting guard
Q36159,Q169138,10 July 2010,2014,6,power forward; small forward
Q1033044,Q159729,01 September 2013,20 October 2013,27,shooting guard
Q926364,Q161337,1989,1994,4,point guard
Q275889,Q121783,2020,2021,,center; power forward
Q275183,Q128109,2004,2014,9,small forward
