:START_ID(Player),:END_ID(Position)
Q16227014,Q212413
Q16581950,Q212413
Q8054397,Q212413
Q17465755,Q212413
Q18706123,Q212413
Q18749170,Q212413
Q14469653,Q212413
Q6847469,Q212413
Q3982514,Q212413
Q3982512,Q212413
Q4018607,Q212413
Q4109533,Q212413
Q4252863,Q212413
Q4454034,Q212413
Q4923939,Q212413
Q4935595,Q212413
Q5132995,Q212413
Q5958908,Q212413
Q5978752,Q212413
Q6452618,Q212413
Q2252657,Q212413
Q2308556,Q212413
Q2316224,Q212413
Q2320891,Q212413
Q2329453,Q212413
Q2330086,Q212413
Q2332223,Q212413
Q2333700,Q212413
Q2339032,Q212413
Q2342221,Q212413
Q2345365,Q212413
Q2346944,Q212413
Q2352493,Q212413
Q2434352,Q212413
Q2447626,Q212413
Q2451555,Q212413
Q2562179,Q212413
Q2563053,Q212413
Q2574037,Q212413
Q2603466,Q212413
Q2620594,Q212413
Q2638257,Q212413
Q2779315,Q212413
Q2923495,Q212413
Q3476711,Q212413
Q3531294,Q212413
Q3538607,Q212413
Q3607514,Q212413
Q1615283,Q212413
Q1618149,Q212413
Q1621443,Q212413
Q1628285,Q212413
Q1629949,Q212413
Q1647863,Q212413
Q1747218,Q212413
Q1747703,Q212413
Q2054315,Q212413
Q3612472,Q212413
Q3616557,Q212413
Q3637939,Q212413
Q3640044,Q212413
Q3641293,Q212413
Q3644461,Q212413
Q3666658,Q212413
Q3666663,Q212413
Q3701346,Q212413
Q3702845,Q212413
Q3706947,Q212413
Q3709165,Q212413
Q3729034,Q212413
Q3731636,Q212413
Q3749269,Q212413
Q3751897,Q212413
Q3752021,Q212413
Q3752628,Q212413
Q3752640,Q212413
Q3758507,Q212413
Q3758562,Q212413
Q3759433,Q212413
Q3759439,Q212413
Q3780060,Q212413
Q3784258,Q212413
Q3784985,Q212413
Q3791955,Q212413
Q3806284,Q212413
Q3808022,Q212413
Q3809485,Q212413
Q3809501,Q212413
Q3817448,Q212413
Q3820599,Q212413
Q3830948,Q212413
Q3831343,Q212413
Q3852415,Q212413
Q3870713,Q212413
Q3876016,Q212413
Q3900131,Q212413
Q3901340,Q212413
Q3911157,Q212413
Q3935036,Q212413
Q3962531,Q212413
Q3968117,Q212413
Q65039,Q212413
Q125060,Q212413
Q134183,Q212413
Q276835,Q212413
Q314621,Q212413
Q315104,Q212413
Q316106,Q212413
Q352118,Q212413
Q358102,Q212413
Q360955,Q212413
Q363397,Q212413
Q372422,Q212413
Q373230,Q212413
Q380033,Q212413
Q385436,Q212413
Q471576,Q212413
Q523630,Q212413
Q547217,Q212413
Q548382,Q212413
Q553063,Q212413
Q554866,Q212413
Q578465,Q212413
Q657378,Q212413
Q660606,Q212413
Q674520,Q212413
Q708983,Q212413
Q716081,Q212413
Q716638,Q212413
Q781176,Q212413
Q926164,Q212413
Q930445,Q212413
Q961660,Q212413
Q975550,Q212413
Q977135,Q212413
Q1120799,Q212413
Q1155161,Q212413
Q1363177,Q212413
Q1377226,Q212413
Q1424613,Q212413
Q1528141,Q212413
Q1583705,Q212413
Q1584499,Q212413
Q1607296,Q212413
Q1608491,Q212413
Q1608950,Q212413
Q3335460,Q212413
Q3607506,Q212413
Q3641421,Q212413
Q3644234,Q212413
Q3646294,Q212413
Q3676039,Q212413
Q3699680,Q212413
Q3716817,Q212413
Q3740253,Q212413
Q3758496,Q212413
Q3758529,Q212413
Q3783424,Q212413
Q3805661,Q212413
Q3808312,Q212413
Q3808353,Q212413
Q3809579,Q212413
Q3809733,Q212413
Q3814433,Q212413
Q3814494,Q212413
Q3830254,Q212413
Q52004627,Q212413
Q52928145,Q212413
Q67609172,Q212413
Q50695454,Q212413
