:START_ID(Player),:END_ID(Award),time
Q1463357,Q7945958,2005
Q2557724,Q4904894,2005
Q930865,Q918054,2013
Q298531,Q1418596,2009
Q196185,Q4896614,2014
Q553318,Q2404133,2011
Q676481,Q1418596,1998
Q361134,Q845884,2007
Q7822525,Q5949350,2007
Q196185,Q222047,2017
Q361134,Q1641970,1996
Q505500,Q674359,1951
Q505500,Q674359,1952
Q505500,Q674359,1953
Q361134,Q1465181,2008
Q361134,Q1465181,2007
Q311895,Q16827133,1995
Q196185,Q1418009,2009
Q211876,Q1465181,1996
Q211876,Q1465181,1995
Q211876,Q1465181,1992
Q211876,Q1465181,1991
Q449245,Q845884,1986
Q298531,Q13425905,2013
Q298981,Q1125399,2008
Q311895,Q1418596,2008
Q311895,Q1418596,2005
Q311895,Q1418596,2010
Q449245,Q1465181,1987
Q449245,Q1465181,1991
Q211876,Q674359,1992
Q211876,Q674359,1991
Q211876,Q674359,1996
Q211876,Q674359,1995
Q963613,Q674359,1954
Q352319,Q674359,1999
Q352319,Q674359,1992
Q352319,Q674359,1998
Q352319,Q674359,1997
Q352319,Q674359,1993
Q298531,Q739499,2004
Q2566735,Q1501719,1993
Q211876,Q1418009,1990
Q973121,Q1465181,2014
Q357757,Q845884,1985
Q357757,Q845884,1989
Q449245,Q1125399,1986
Q211876,Q644357,1990
Q505500,Q31391,1951
Q553318,Q2359022,2011
Q352319,Q1418009,1990
Q357757,Q1465181,1986
Q357757,Q1465181,1985
Q357757,Q1465181,1989
Q314430,Q3734778,2010
Q311895,Q674359,1997
Q973121,Q1125399,2013
Q310108,Q1125399,2003
Q2354822,Q1501719,1996
Q211876,Q1653207,2003
Q739699,Q1501719,1988
Q676481,Q918054,2006
Q127125,Q41655480,2005
Q984367,Q1125399,2000
Q553318,Q17182534,2016
Q294788,Q3734778,2012
Q298531,Q1501719,2008
Q318929,Q1125399,2009
Q553318,Q3625678,2011
Q2561603,Q388970,1985
Q211876,Q845884,1992
Q926364,Q1125399,1991
Q211876,Q1641970,1987
Q553318,Q1641970,2011
Q211876,Q1501719,2003
Q371193,Q1501719,2018
Q205326,Q674359,2011
Q211876,Q1418596,2001
Q205326,Q222047,2011
Q553318,Q2666769,2011
Q211876,Q222047,1995
Q963613,Q918054,1963
Q196185,Q31391,2016
Q196185,Q31391,2015
Q205326,Q1418009,2009
Q311895,Q3304648,1994
Q7926203,Q1125399,2018
Q553318,Q3869347,2011
Q205326,Q644357,2009
Q275183,Q1418596,2007
Q553318,Q10873970,2017
Q361134,Q1418009,1997
Q275183,Q1501719,2014
Q553318,Q6925428,2011
Q311895,Q1418009,1995
Q311895,Q644357,1995
Q311895,Q3869345,1993
Q270981,Q644357,2003
Q1347527,Q3809120,2014
Q275183,Q1418009,2005
Q309872,Q1465181,1998
Q309872,Q1465181,2002
Q309872,Q1465181,2000
Q309872,Q1465181,1997
Q309872,Q1465181,1996
Q309872,Q1465181,1995
Q309872,Q1465181,2001
Q309872,Q1465181,1994
Q309872,Q1465181,1999
Q209921,Q31391,1977
Q209921,Q31391,1983
Q926311,Q3869347,1994
Q926311,Q1418009,1995
Q538009,Q918054,2008
Q549899,Q31391,1968
Q380515,Q739499,1970
Q380515,Q739499,1973
Q199896,Q31391,1993
Q199896,Q31391,1989
Q380515,Q31391,1970
Q926311,Q18156668,2005
Q273256,Q1465181,1991
Q273256,Q1465181,1990
Q273256,Q1465181,1997
Q273256,Q1465181,1996
Q273256,Q1465181,1988
Q273256,Q1465181,1994
Q273256,Q1465181,1987
Q273256,Q1465181,1993
Q273256,Q1465181,1985
Q273256,Q674359,1996
Q273256,Q674359,1995
Q273256,Q674359,1988
Q273256,Q674359,1994
Q273256,Q674359,1993
Q273256,Q674359,1986
Q273256,Q674359,1999
Q273256,Q674359,1991
Q273256,Q674359,1997
Q273256,Q674359,1990
Q273256,Q674359,1989
Q209921,Q1501719,1983
Q273256,Q1749322,1983
Q209921,Q674359,1983
Q209921,Q674359,1982
Q209921,Q674359,1981
Q209921,Q674359,1980
Q209921,Q674359,1978
Q273256,Q222047,1994
Q209921,Q222047,1981
Q209921,Q222047,
Q933952,Q1501719,1980
Q273256,Q1418009,1985
Q926311,Q2404133,1994
Q926311,Q2081740,1994
Q199896,Q222047,1999
Q199896,Q222047,1997
Q199896,Q674359,1999
Q199896,Q674359,1992
Q199896,Q674359,1998
Q199896,Q674359,1997
Q199896,Q674359,1990
Q199896,Q674359,1989
Q199896,Q674359,1996
Q199896,Q674359,1994
Q199896,Q674359,1993
Q199896,Q674359,1991
Q199896,Q674359,1995
Q919197,Q9062372,2010
Q380515,Q1465181,1970
Q380515,Q1418009,1965
Q309872,Q845884,1996
Q273256,Q739499,1995
Q273256,Q739499,1994
Q380515,Q644357,1965
Q213132,Q56872155,2010
Q926311,Q4906507,1994
Q385436,Q1125399,1995
Q241261,Q644357,1999
Q926311,Q4906518,1994
Q273256,Q943106,1996
Q273256,Q943106,1995
Q316246,Q918054,1996
Q316246,Q4896608,2010
Q316246,Q4896608,2009
Q316246,Q4896608,2002
Q926311,Q2359022,1994
Q718669,Q674359,1978
Q718669,Q674359,1977
Q273256,Q845884,1994
Q273256,Q845884,1993
Q363397,Q644357,2010
Q273256,Q7571251,1984
Q460116,Q1125399,1996
Q926311,Q6952971,1994; 1993
Q316106,Q50620191,2013
Q554866,Q13422138,08 September 2021
Q199896,Q1465181,1999
Q199896,Q1465181,1997
Q199896,Q1465181,1998
Q718669,Q31391,1979
Q770083,Q1125399,1987
Q926311,Q3625678,1994
Q538009,Q1418009,1984
Q914127,Q20439991,2012
Q926311,Q1641970,1994
Q316246,Q1418009,1968
Q787999,Q1125399,1990
Q380515,Q674359,1970
Q380515,Q222047,1970
Q41421,Q1653207,1991
Q41421,Q4896724,1993
Q1114256,Q6589922,2010
Q2419803,Q31391,1966
Q553232,Q41628143,1993
Q32860369,Q1766360,2023
Q975066,Q41628143,1996
Q362872,Q41628143,1997
Q4933485,Q388970,2015
Q968705,Q7082270,2011
Q2328264,Q41628143,1996
Q41421,Q4896614,1996
Q273256,Q121359767,2008
Q193052,Q120648343,2015
Q92198887,Q644357,April 2023
Q22096243,Q6589922,2016
Q41421,Q2666769,1984
Q313481,Q121359767,2007
Q62719191,Q6925428,2019
Q743850,Q41628143,1989
Q41421,Q41628143,2010
Q958710,Q16996870,1994
Q1386659,Q918054,2007
Q555100,Q41628143,1998
Q3946349,Q41628143,1981
Q41421,Q674359,1998
Q41421,Q674359,1991
Q41421,Q674359,1997
Q41421,Q674359,1990
Q41421,Q674359,1989
